water_object_observation_point,rate_state_aquatic_ecosystem,ingredients
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""","""Железо общ."""
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""",БПК5
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""",SO4
"""р.Паужетка(главное русло) - пос.Паужетка""","""3А Загрязненная""",Свинец
"""р.Паужетка(главное русло) - пос.Паужетка""","""3А Загрязненная""",Цинк
"""р.Паужетка(главное русло) - пос.Паужетка""","""3А Загрязненная""",Медь
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""",NO2
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Цинк
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Хлоpиды
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Никель
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Нефтепpод.
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",SO4
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",NO3
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""",Цинк
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""",Нефтепpод.
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""",Медь
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""",Маpганец
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""",БПК5
"""БАССЕЙН ЛУГИ""","""3А Загрязненная, 3Б Очень загрязненная""",Никель
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""",NO3
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",NH4
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",Цинк
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",Хлоpиды
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""","""Окисл. Бихp."""
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",Нефтепpод.
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",Кислоpод
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""","""Железо общ."""
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",БПК5
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",Маpганец
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",SO4
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",NO2
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""",АСПАВ
"""р.Амур - г.Хабаровск""","""3А Загрязненная""","""Железо общ."""
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""",Цинк
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""",Хлоpиды
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""",Медь
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""",Маpганец
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""",БПК5
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""",SO4
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""",NO3
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3Б Очень загрязненная""",NO3
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3Б Очень загрязненная""",БПК5
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",БПК5
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",Медь
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""","""Окисл. Бихp."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",Хлоpиды
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Кислоpод
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",NO2
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",SO4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""","""Фенолы летуч."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",SO4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Кислоpод
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Хлоpиды
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""","""Железо общ."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Цинк
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",SO4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Амур - г.Комсомольск""","""3А Загрязненная, 3Б Очень загрязненная""",NO2
"""ОЗ.ХАНКА С.ТРОИЦКОЕ В ЧЕРТЕ С.ТРОИЦКОЕ""","""4А Грязная""","""Фенолы летуч."""
"""ОЗ.ХАНКА С.ТРОИЦКОЕ В ЧЕРТЕ С.ТРОИЦКОЕ""","""4А Грязная""",Алюминий
"""БАССЕЙН ЯПОНСКОГО МОРЯ""","""4В Очень грязная""","""Железо общ."""
"""БАССЕЙН ЯПОНСКОГО МОРЯ""","""4В Очень грязная""",Цинк
"""р.Амур - г.Хабаровск(г.ст.)""","""3А Загрязненная""",Маpганец
"""РЕКИ О.САХАЛИН""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 5 Экстремально грязная""",Кислоpод
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",NO3
"""Р.БУРЕЯ, ПГТ.НОВОБУРЕЙСКИЙ 1 НИЖЕ ПГТ НОВОБУРЕЙСКИЙ""","""4А Грязная""",Медь
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",NO2
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",БПК5
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Хлоpиды
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Медь
"""р.Кулу - с.Кулу""","""3Б Очень загрязненная""",NH4
"""р.Уссури - г.Лесозаводск""","""3А Загрязненная""",NO2
"""р.Амур - г.Комсомольск""","""3А Загрязненная, 3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.НАЙБА, Г.ДОЛИНСК 5 КМ.НИЖЕ СБР.СТ.ВОД ЦБЗ""","""3А Загрязненная""",Медь
"""р.Иртыш - г.Ханты-Мансийск""","""4Б Грязная""",NO3
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Магний
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Цинк
"""р.Амур - с.Богородское""","""3Б Очень загрязненная""",Никель
"""р.Амур - с.Богородское""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Амур - с.Богородское""","""3Б Очень загрязненная""",Маpганец
"""р.Амур - с.Богородское""","""3Б Очень загрязненная""",Кислоpод
"""р.Амур - с.Богородское""","""3Б Очень загрязненная""","""Железо общ."""
